年份,硕士在校学生数,哲学硕士在校学生数,经济学硕士在校学生数,法学硕士在校学生数,教育学硕士在校学生数,文学硕士在校学生数,历史学硕士在校学生数,理学硕士在校学生数,工学硕士在校学生数,农学硕士在校学生数,医学硕士在校学生数,军事学硕士在校学生数,管理学硕士在校学生数,普通高校硕士在校学生数,普通高校哲学硕士在校学生数,普通高校经济学硕士在校学生数,普通高校法学硕士在校学生数,普通高校教育学硕士在校学生数,普通高校文学硕士在校学生数,普通高校历史学硕士在校学生数,普通高校理学硕士在校学生数,普通高校工学硕士在校学生数,普通高校农学硕士在校学生数,普通高校医学硕士在校学生数,普通高校军事学硕士在校学生数,普通高校管理学硕士在校学生数,科研机构硕士在校学生数,科研机构哲学硕士在校学生数,科研机构经济学硕士在校学生数,科研机构法学硕士在校学生数,科研机构教育学硕士在校学生数,科研机构文学硕士在校学生数,科研机构历史学硕士在校学生数,科研机构理学硕士在校学生数,科研机构工学硕士在校学生数,科研机构农学硕士在校学生数,科研机构医学硕士在校学生数,科研机构军事学硕士在校学生数,科研机构管理学硕士在校学生数
2009,115.8623,1.2497,5.0277,7.5273,4.3377,10.4324,1.3627,12.6956,37.235,3.5652,10.5559,0.0612,9.2966,112.7285,1.2139,4.9325,7.4148,4.3241,10.3781,1.3458,11.6934,35.9221,3.4207,10.4018,0.0607,9.1793,3.1338,0.0358,0.0952,0.1125,0.0136,0.0543,0.0169,1.0022,1.3129,0.1445,0.1541,0.0005,0.1173
2008,104.6429,1.2087,4.7997,8.0297,4.061,9.4988,1.3006,11.7015,36.3581,3.5893,11.5101,0.0583,12.5271,101.5982,1.1756,4.7017,7.9154,4.047,9.447,1.2832,10.7186,35.0353,3.447,11.349,0.0576,12.4208,3.0447,0.0331,0.098,0.1143,0.014,0.0518,0.0174,0.9829,1.3228,0.1423,0.1611,0.0007,0.1063
2007,97.2539,1.1726,4.5673,7.0736,3.7376,8.5119,1.2754,10.7657,34.3601,3.6792,10.5519,0.0572,11.5014,94.2508,1.1427,4.477,6.9673,3.7263,8.4614,1.2583,9.7871,33.0741,3.5495,10.3612,0.0564,11.3895,3.0031,0.0299,0.0903,0.1063,0.0113,0.0505,0.0171,0.9786,1.286,0.1297,0.1907,0.0008,0.1119
2006,89.6615,1.0469,4.372,6.3464,3.326,7.5469,1.2112,9.8845,32.544,3.3461,9.4353,0.0505,10.5517,86.8231,1.0149,4.2821,6.233,3.3175,7.4998,1.1931,8.9436,31.3657,3.2336,9.2481,0.0498,10.4419,2.8384,0.032,0.0899,0.1134,0.0085,0.0471,0.0181,0.9409,1.1783,0.1125,0.1872,0.0007,0.1098
2005,78.7293,0.9237,4.0057,5.7752,2.6826,6.5457,1.061,8.7451,29.0024,2.8675,8.0107,0.0424,9.0673,76.0659,0.8942,3.9196,5.6713,2.6754,6.5048,1.045,7.8697,27.8544,2.7771,7.8425,0.0418,8.9701,2.6634,0.0295,0.0861,0.1039,0.0072,0.0409,0.016,0.8754,1.148,0.0904,0.1682,0.0006,0.0972
2004,65.4286,0.7523,3.3861,4.906,2.0302,5.1155,0.8548,7.3612,24.8748,2.2818,6.4088,0.0318,7.4253,63.0847,0.7291,3.3061,4.8133,2.0231,5.0826,0.8407,6.5722,23.8528,2.2155,6.263,0.0312,7.3551,2.3439,0.0232,0.08,0.0927,0.0071,0.0329,0.0141,0.789,1.022,0.0663,0.1458,0.0006,0.0702
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
