省份编码,省份,年份,普通小学学校数(所),普通小学招生数(万人),普通小学在校学生数(万人),普通小学毕业生数(万人),普通小学教职工数(万人),普通小学专任教师数(万人)
140000,山西省,2011,10936.0,44.0802,277.1927,52.7818,19.0646,18.882
140000,山西省,2010,12776.0,45.139,291.0606,57.3473,20.6423,19.0538
140000,山西省,2009,14722.0,43.0781,304.6931,58.3791,21.0015,19.3657
140000,山西省,2008,17167.0,47.4811,321.3426,55.2111,21.0066,19.3378
140000,山西省,2007,19527.0,53.5376,333.4307,57.9615,21.123,19.4574
140000,山西省,2006,21647.0,52.4908,337.7597,63.5295,20.9485,19.3386
140000,山西省,2005,24339.0,54.8755,350.2562,63.5578,20.8261,19.2271
140000,山西省,2004,28254.0,60.1024,359.2007,62.4291,20.6361,19.1152
140000,山西省,2003,31126.0,73.4901,363.5608,59.7477,20.2648,18.8109
140000,山西省,2002,32898.0,80.1731,351.11,67.8698,19.6137,18.2248
140000,山西省,2001,34740.0,63.831,338.9408,66.5867,19.2394,17.8122
140000,山西省,2000,37451.0,63.1942,343.6044,64.0894,19.6165,18.0362
150000,内蒙古自治区,2019,1662.0,,136.3093,,,10.2876
150000,内蒙古自治区,2018,1655.0,,134.1863,,,10.0652
150000,内蒙古自治区,2017,1658.0,21.6,132.5442,22.6,,9.9653
150000,内蒙古自治区,2016,1730.0,,133.8134,,,9.9358
150000,内蒙古自治区,2015,1853.0,,131.3635,,,10.173
150000,内蒙古自治区,2014,2174.0,22.4453,129.6454,22.1107,12.2202,10.7262
150000,内蒙古自治区,2013,2308.0,23.0674,131.0595,23.2846,12.4735,11.0576
150000,内蒙古自治区,2012,2443.0,23.3545,136.508,24.2927,12.7745,11.2898
150000,内蒙古自治区,2011,2613.0,24.6419,140.5322,25.492,12.6569,11.3734
150000,内蒙古自治区,2010,2767.0,22.1764,143.0751,26.9753,13.8473,11.3564
150000,内蒙古自治区,2009,3139.0,22.8806,149.3013,27.9222,13.9539,11.4848
150000,内蒙古自治区,2008,3605.0,25.0153,155.2708,27.2053,13.8962,11.517
150000,内蒙古自治区,2007,4177.0,26.0093,158.4593,25.1506,13.8691,11.5205
150000,内蒙古自治区,2006,4884.0,26.0748,156.379,31.1752,13.8487,11.6582
150000,内蒙古自治区,2005,5850.0,25.8947,159.6381,32.7773,13.8645,11.8988
150000,内蒙古自治区,2004,6874.0,26.9785,165.8154,35.0342,14.2319,12.4319
150000,内蒙古自治区,2003,7763.0,29.4991,173.3702,38.8019,14.5166,12.7011
150000,内蒙古自治区,2002,8472.0,36.5473,183.44,42.0479,14.6285,12.8331
150000,内蒙古自治区,2001,9312.0,32.1488,189.3508,42.5603,14.8491,13.031
150000,内蒙古自治区,2000,10147.0,32.7021,201.5076,43.293,14.9283,12.9242
210000,辽宁省,2019,2976.0,,195.0513,,,13.7349
210000,辽宁省,2018,3280.0,,195.4825,,,13.6984
210000,辽宁省,2017,3634.0,30.1,194.5975,34.1,,14.0206
210000,辽宁省,2016,3954.0,,198.8681,,,14.04
210000,辽宁省,2015,4234.0,,199.9564,,,14.0002
210000,辽宁省,2014,4429.0,33.1754,198.4633,35.7346,13.6185,14.1049
210000,辽宁省,2013,4631.0,35.0633,204.4058,36.5054,13.7661,14.2656
210000,辽宁省,2012,4779.0,35.3057,212.9695,37.1386,13.5608,14.4633
210000,辽宁省,2011,5118.0,37.0138,216.8074,37.7227,13.7851,14.5457
210000,辽宁省,2010,5523.0,34.8465,218.2522,39.7516,16.7199,14.6922
210000,辽宁省,2009,6037.0,33.7183,225.5977,42.8542,17.0584,14.9711
210000,辽宁省,2008,6987.0,39.3197,236.735,45.9368,17.3159,15.1039
210000,辽宁省,2007,7670.0,39.5108,245.2598,48.0567,17.6926,15.3693
210000,辽宁省,2006,8434.0,38.866,254.6811,50.6789,18.0474,15.5848
210000,辽宁省,2005,9311.0,37.9941,266.6155,49.9069,19.0548,16.3589
210000,辽宁省,2004,10281.0,41.6143,279.433,51.1757,19.4973,16.7203
210000,辽宁省,2003,11339.0,43.265,289.1925,59.5278,19.9829,17.0947
210000,辽宁省,2002,12161.0,46.3091,306.14,62.2536,20.5229,17.5549
210000,辽宁省,2001,12739.0,48.4661,323.0517,67.9852,21.1684,18.1444
210000,辽宁省,2000,13356.0,50.8907,344.4172,72.2325,21.6677,18.5884
220000,吉林省,2019,3740.0,,118.5695,,,10.4977
220000,吉林省,2018,3871.0,,120.1872,,,10.6603
220000,吉林省,2017,4153.0,18.94,122.8205,,,10.8405
220000,吉林省,2016,4281.0,,126.4211,,,10.965
220000,吉林省,2015,4493.0,,127.9766,,,11.0058
220000,吉林省,2014,4806.0,19.0001,126.8804,23.1537,11.732,11.2729
220000,吉林省,2013,5103.0,21.7645,136.1868,23.593,12.1183,11.5116
220000,吉林省,2012,5186.0,24.2215,142.3679,23.0619,12.7992,11.9274
220000,吉林省,2011,5600.0,25.0353,143.9237,22.6712,13.2521,12.1854
220000,吉林省,2010,5837.0,24.9724,144.4633,25.2667,14.779,12.4502
220000,吉林省,2009,6184.0,23.3984,146.1099,27.0309,15.2641,12.8301
220000,吉林省,2008,6450.0,25.9418,150.0703,29.2573,15.3377,12.9118
220000,吉林省,2007,6736.0,26.5723,153.6733,29.5174,15.6555,13.1475
220000,吉林省,2006,7010.0,23.5755,155.6078,31.1724,16.0189,13.445
220000,吉林省,2005,7393.0,21.538,162.5238,33.0055,16.3366,13.7675
220000,吉林省,2004,7781.0,24.8558,174.138,35.5449,16.5872,14.0904
220000,吉林省,2003,8163.0,25.0,183.3141,43.7518,16.6592,14.1363
220000,吉林省,2002,8632.0,28.3161,202.22,45.5545,16.9601,14.4586
220000,吉林省,2001,9025.0,29.0099,221.0103,46.8258,16.9891,14.5092
220000,吉林省,2000,9435.0,31.3295,241.5858,48.6,17.3182,15.0291
230000,黑龙江省,2019,1431.0,,127.8727,,,10.7089
230000,黑龙江省,2018,1469.0,,131.8982,,,11.0544
230000,黑龙江省,2017,1537.0,22.1,137.6526,27.9,,11.4487
230000,黑龙江省,2016,1979.0,,143.9381,,,11.9412
230000,黑龙江省,2015,2802.0,,147.7992,,,12.5886
230000,黑龙江省,2014,3115.0,22.712,148.6016,26.7124,13.0444,13.1577
230000,黑龙江省,2013,3261.0,27.4454,154.0035,33.0069,13.6461,13.6481
230000,黑龙江省,2012,4834.0,32.895,186.7729,34.6553,14.5978,14.4208
230000,黑龙江省,2011,5620.0,33.3945,187.4996,33.6006,15.2915,14.7697
230000,黑龙江省,2010,6490.0,34.1438,187.9609,36.3943,17.2707,15.1344
230000,黑龙江省,2009,7202.0,31.2389,190.3733,38.9841,17.683,15.5025
230000,黑龙江省,2008,8142.0,33.6919,198.2828,39.0554,17.9467,15.7436
230000,黑龙江省,2007,8738.0,34.017,204.0767,39.8638,18.1778,15.8918
230000,黑龙江省,2006,9288.0,33.3206,210.3073,42.7035,18.4214,16.0511
230000,黑龙江省,2005,9995.0,34.0241,220.4055,44.3962,18.8256,16.3204
230000,黑龙江省,2004,10791.0,38.3832,231.5394,46.2923,20.1911,17.5274
230000,黑龙江省,2003,11400.0,40.5337,240.1918,43.8212,20.482,17.8122
230000,黑龙江省,2002,11990.0,40.6494,243.7,57.0422,20.7924,18.09
230000,黑龙江省,2001,12635.0,41.4318,258.7506,63.8339,20.9888,18.2929
230000,黑龙江省,2000,13995.0,44.2988,283.0578,69.8124,22.1859,19.3113
310000,上海市,2019,698.0,,82.6347,,,5.9451
310000,上海市,2018,721.0,,80.0222,,,5.6803
310000,上海市,2017,741.0,,78.4896,14.31,,5.4697
310000,上海市,2016,753.0,,78.9721,,,5.3389
310000,上海市,2015,764.0,,79.8686,,,5.2321
310000,上海市,2014,757.0,16.337,80.296,13.1246,5.0618,5.1481
310000,上海市,2013,759.0,18.1037,79.2476,13.4504,4.9732,4.9772
310000,上海市,2012,761.0,17.2297,76.0377,12.9542,4.8936,4.8066
310000,上海市,2011,764.0,16.943,73.1131,13.0857,4.8151,4.6254
310000,上海市,2010,766.0,15.0465,70.1578,12.4353,5.5843,4.5239
310000,上海市,2009,751.0,13.8598,67.1245,11.3558,5.4841,4.4278
310000,上海市,2008,672.0,12.3949,59.0561,10.4362,5.101,4.0964
310000,上海市,2007,615.0,10.9965,53.328,10.553,4.8421,3.8451
310000,上海市,2006,626.0,10.8733,53.3677,10.852,4.861,3.75
310000,上海市,2005,650.0,10.4637,54.0362,11.0428,5.0031,3.7954
310000,上海市,2004,658.0,10.651,54.2898,11.083,5.1369,3.8111
310000,上海市,2003,698.0,10.1633,65.4844,12.9623,5.4157,3.9408
310000,上海市,2002,763.0,10.2176,67.93,15.9222,5.69,4.06
310000,上海市,2001,864.0,10.3955,73.045,17.6216,5.9477,4.2952
310000,上海市,2000,1034.0,10.4092,79.7512,18.9754,6.2145,4.4955
320000,江苏省,2019,4151.0,,572.6376,,,33.2052
320000,江苏省,2018,4103.0,,560.4407,,,31.6063
320000,江苏省,2017,4075.0,,540.2074,,,30.0216
320000,江苏省,2016,4036.0,,522.2018,,,28.9202
320000,江苏省,2015,4068.0,,499.6365,,,27.7885
320000,江苏省,2014,4023.0,88.8858,471.4813,62.1936,26.0548,27.019
320000,江苏省,2013,4020.0,85.1334,435.3694,63.9404,25.4395,25.8173
320000,江苏省,2012,4128.0,79.4802,422.7557,64.5061,25.23,25.258
320000,江苏省,2011,4325.0,76.1815,409.5995,64.9684,25.3834,25.0123
320000,江苏省,2010,4498.0,73.1257,398.7821,70.5776,27.5678,24.9586
320000,江苏省,2009,5013.0,66.0473,396.0228,77.2743,28.16,25.4665
320000,江苏省,2008,5233.0,64.2287,408.0728,85.913,28.2805,25.4717
320000,江苏省,2007,5668.0,65.1867,429.1805,93.6047,28.6319,25.8317
320000,江苏省,2006,5940.0,63.7467,455.7486,97.8186,28.843,26.051
320000,江苏省,2005,6261.0,61.9336,485.5321,105.5231,28.9751,26.1646
320000,江苏省,2004,6723.0,68.2082,528.2096,120.4413,29.2204,26.4937
320000,江苏省,2003,7845.0,74.2117,579.3921,130.0348,29.7083,26.8436
320000,江苏省,2002,13372.0,83.2083,635.23,131.3037,30.785,27.95
320000,江苏省,2001,15754.0,91.7515,686.4985,124.3676,31.9045,28.8409
320000,江苏省,2000,19110.0,95.5262,718.5458,114.7774,31.9959,28.903
330000,浙江省,2019,3310.0,,367.1067,,,21.6107
330000,浙江省,2018,3301.0,,360.5686,,,21.0407
330000,浙江省,2017,3286.0,61.3,354.0079,,,20.5127
330000,浙江省,2016,3269.0,,355.0236,,,20.002
330000,浙江省,2015,3303.0,,356.9926,,,19.4769
330000,浙江省,2014,3344.0,59.8122,354.5013,53.7501,18.1538,19.0423
330000,浙江省,2013,3400.0,60.7545,349.5846,54.0378,17.6164,18.3479
330000,浙江省,2012,3698.0,60.7186,346.7269,53.8276,17.3611,17.9473
330000,浙江省,2011,3818.0,62.8821,344.0635,51.7786,16.9565,17.4379
330000,浙江省,2010,3989.0,60.2117,333.3274,54.1309,18.6081,17.1908
330000,浙江省,2009,4147.0,53.9051,325.1416,57.2363,18.4495,17.0102
330000,浙江省,2008,4417.0,55.7757,332.2785,62.4785,18.281,16.7847
330000,浙江省,2007,4813.0,54.8452,335.4576,62.8052,18.1181,16.5611
330000,浙江省,2006,5471.0,52.9852,339.4297,62.0416,17.9848,16.3843
330000,浙江省,2005,6101.0,48.96,342.4042,55.2525,17.7886,16.2183
330000,浙江省,2004,6747.0,51.4151,344.3066,53.2422,17.6132,16.0075
330000,浙江省,2003,7712.0,52.4509,340.2942,59.7818,17.5366,15.9127
330000,浙江省,2002,8962.0,57.7818,343.75,64.4767,17.6529,16.01
330000,浙江省,2001,10018.0,58.4485,346.2761,66.6617,17.6428,15.9865
330000,浙江省,2000,11841.0,61.5772,353.7556,71.8471,17.5662,16.0396
340000,安徽省,2019,7792.0,,462.1048,,,25.5415
340000,安徽省,2018,7908.0,,456.8379,,,24.9323
340000,安徽省,2017,8108.0,77.0,440.5178,69.1,,24.4978
340000,安徽省,2016,8284.0,,430.3637,,,24.0493
340000,安徽省,2015,9119.0,,422.5034,,,23.8259
340000,安徽省,2014,10547.0,73.0882,415.1398,63.4131,22.5127,23.7902
340000,安徽省,2013,11507.0,75.309,409.1967,65.4897,22.8704,23.8131
340000,安徽省,2012,12547.0,69.3919,404.7018,72.0927,23.315,24.1504
340000,安徽省,2011,13343.0,79.1856,443.5804,76.9388,23.729,24.3319
340000,安徽省,2010,13997.0,81.9015,460.4351,87.4103,25.6209,24.5726
340000,安徽省,2009,14974.0,83.8578,486.8785,98.3747,25.8827,24.8595
340000,安徽省,2008,16116.0,84.975,520.354,103.9349,26.1835,25.102
340000,安徽省,2007,17240.0,86.4203,549.5019,96.0163,26.6213,25.4777
340000,安徽省,2006,18204.0,85.402,558.2911,110.4018,26.8327,25.6368
340000,安徽省,2005,20142.0,81.5248,584.1133,116.2472,27.1815,25.9493
340000,安徽省,2004,21295.0,91.9509,623.7115,124.3178,27.5401,26.2528
340000,安徽省,2003,22328.0,106.3988,661.2171,127.1012,27.9648,26.6458
340000,安徽省,2002,22718.0,127.2586,687.48,127.7525,28.6461,27.2
340000,安徽省,2001,22970.0,137.0783,691.8509,122.9275,29.1648,27.6103
340000,安徽省,2000,24281.0,116.5995,644.2405,121.1986,28.9125,27.3745
350000,福建省,2019,5160.0,,334.3976,,,17.793
350000,福建省,2018,5189.0,,321.3945,,,17.2012
350000,福建省,2017,5190.0,53.04,307.0865,43.82,,16.8867
350000,福建省,2016,5188.0,,298.6658,,,16.591
350000,福建省,2015,5141.0,,288.3136,,,16.2496
350000,福建省,2014,5167.0,52.9525,274.6253,37.8923,16.0596,15.8698
350000,福建省,2013,5228.0,49.5734,259.8375,39.8464,15.7126,15.449
350000,福建省,2012,5414.0,46.745,252.7264,39.1264,15.7362,15.3941
350000,福建省,2011,5947.0,44.7904,246.0858,37.1976,15.8592,15.5337
350000,福建省,2010,6974.0,42.6005,238.8917,39.606,16.629,15.6601
350000,福建省,2009,7849.0,40.4,239.7594,43.9042,16.6446,15.6779
350000,福建省,2008,8566.0,39.9088,247.1464,50.496,16.9868,16.0347
350000,福建省,2007,9388.0,41.9269,258.291,53.5109,17.0605,16.0911
350000,福建省,2006,9867.0,41.2394,269.2218,52.6101,17.3913,16.335
350000,福建省,2005,10560.0,35.8831,273.2702,54.7122,17.7134,16.6465
350000,福建省,2004,11614.0,36.4882,286.9442,62.5809,18.2185,17.0962
350000,福建省,2003,12406.0,40.2276,311.9777,66.9693,18.9027,17.7248
350000,福建省,2002,12924.0,47.5169,339.18,64.7691,19.2768,18.15
350000,福建省,2001,13664.0,50.623,354.6212,67.4439,19.3967,18.1816
350000,福建省,2000,13935.0,49.3384,369.1003,68.6385,19.7272,18.3547
360000,江西省,2019,7330.0,,411.4416,,,23.8475
360000,江西省,2018,7578.0,,421.2208,,,23.4662
360000,江西省,2017,7760.0,67.7,422.8966,67.8,,22.699
360000,江西省,2016,8329.0,,422.7605,,,21.9161
360000,江西省,2015,9465.0,,422.3124,,,21.5906
360000,江西省,2014,9764.0,69.5335,412.9817,59.6483,19.6817,21.0329
360000,江西省,2013,10650.0,78.9067,408.1086,65.5898,19.5737,20.7153
360000,江西省,2012,11173.0,80.0412,434.1438,67.0134,19.5472,20.547
360000,江西省,2011,11633.0,77.7955,434.0255,66.7802,19.562,20.4248
360000,江西省,2010,12772.0,74.8368,426.0215,67.8534,20.995,20.2897
360000,江西省,2009,13021.0,71.4886,422.7464,69.4818,20.8702,20.1461
360000,江西省,2008,12890.0,74.6762,423.9268,65.48,20.5668,19.8005
360000,江西省,2007,13178.0,73.5758,417.5579,54.2814,20.6173,19.8037
360000,江西省,2006,14244.0,70.3789,399.9286,53.8387,20.2991,19.5538
360000,江西省,2005,14727.0,66.9411,384.1576,64.8849,20.0291,19.3484
360000,江西省,2004,15257.0,68.1228,386.2115,67.6849,20.234,19.4377
360000,江西省,2003,15862.0,73.3559,390.5386,75.7359,20.7306,19.8513
360000,江西省,2002,17255.0,74.1991,396.69,82.1475,21.5317,20.5904
360000,江西省,2001,18341.0,68.9659,405.5035,85.4679,22.4318,21.4392
360000,江西省,2000,21082.0,67.7872,422.675,85.6148,23.4242,22.3047
370000,山东省,2019,9646.0,,738.5622,,,44.2729
370000,山东省,2018,9674.0,,725.9706,,,43.0702
370000,山东省,2017,9738.0,127.0,708.473,,,42.1877
370000,山东省,2016,10027.0,,691.3144,,,40.8856
370000,山东省,2015,10404.0,,674.6258,,,39.6368
370000,山东省,2014,10770.0,124.6992,648.4744,101.0227,37.8886,38.908
370000,山东省,2013,11151.0,115.6903,625.982,103.3007,38.3692,38.7312
370000,山东省,2012,11573.0,109.5534,627.6696,106.1562,38.7203,38.2562
370000,山东省,2011,12047.0,119.399,644.0742,106.8186,39.3612,38.628
370000,山东省,2010,12405.0,111.3005,629.2476,110.2552,41.7504,38.7453
370000,山东省,2009,12858.0,101.7777,626.812,109.4727,42.1057,38.9962
370000,山东省,2008,13503.0,104.6117,632.9748,107.48,42.0552,38.7957
370000,山东省,2007,14064.0,111.4557,634.0133,103.8746,42.0353,38.6641
370000,山东省,2006,14611.0,107.1757,623.0225,101.6943,41.5117,38.1673
370000,山东省,2005,15871.0,104.2684,615.3703,113.3143,41.0394,37.7729
370000,山东省,2004,16943.0,110.168,627.8002,124.6899,41.0264,37.8793
370000,山东省,2003,18303.0,107.8606,642.7848,128.2382,41.0968,38.0066
370000,山东省,2002,19590.0,107.2586,662.59,144.0986,41.46,38.3816
370000,山东省,2001,21342.0,101.3586,699.1932,176.1653,42.2905,39.0374
370000,山东省,2000,26017.0,104.4775,774.8822,195.116,44.0161,40.82
410000,河南省,2019,18117.0,,1012.4818,,,56.5248
410000,河南省,2018,18622.0,,994.5951,,,54.7153
410000,河南省,2017,20372.0,172.38,982.0554,150.31,,52.7021
410000,河南省,2016,22822.0,,965.5895,,,50.6131
410000,河南省,2015,24673.0,,937.0543,,,50.0894
410000,河南省,2014,25578.0,159.4357,928.6003,140.8127,49.6706,49.4031
410000,河南省,2013,26086.0,181.0567,939.9771,164.476,49.9445,49.4515
410000,河南省,2012,27452.0,190.9667,1079.1827,170.4498,50.4933,49.6856
410000,河南省,2011,27793.0,193.4351,1092.896,167.6067,50.4697,49.5824
410000,河南省,2010,28603.0,187.7552,1070.5303,165.3451,51.8191,49.0413
410000,河南省,2009,29420.0,184.5137,1052.0259,165.7467,51.5839,48.9139
410000,河南省,2008,30214.0,186.915,1036.5983,168.9027,51.2237,48.5288
410000,河南省,2007,30677.0,183.2213,1018.7055,160.1925,50.9962,48.3029
410000,河南省,2006,31410.0,176.8598,997.093,166.7126,50.5033,47.8153
410000,河南省,2005,33026.0,169.4358,986.8409,191.8974,50.2187,47.5511
410000,河南省,2004,34164.0,162.4945,1014.0634,203.5444,50.4468,47.8499
410000,河南省,2003,36379.0,164.3456,1058.6075,204.1813,51.6735,48.849
410000,河南省,2002,37729.0,185.7734,1104.59,202.5508,52.7252,49.62
410000,河南省,2001,39825.0,163.317,1070.7257,220.4133,50.3483,47.5557
410000,河南省,2000,41269.0,171.1119,1130.626,225.5704,48.953,45.9277
420000,湖北省,2019,5405.0,,376.4794,,,20.8322
420000,湖北省,2018,5396.0,,366.5794,,,20.3576
420000,湖北省,2017,5378.0,,354.568,,,20.3304
420000,湖北省,2016,5383.0,,346.1337,,,20.2014
420000,湖北省,2015,5398.0,,335.8095,,,20.0158
420000,湖北省,2014,5513.0,59.7543,321.1598,45.1925,19.9033,19.9172
420000,湖北省,2013,5746.0,60.7979,328.2579,48.9395,19.8262,19.6556
420000,湖北省,2012,6614.0,63.4766,326.7498,51.3818,19.3609,19.1699
420000,湖北省,2011,7415.0,69.2317,377.3446,58.3417,19.7395,19.4851
420000,湖北省,2010,7749.0,68.0166,365.5512,61.162,21.1247,19.6078
420000,湖北省,2009,8544.0,64.219,359.2629,64.6753,21.3347,19.8188
420000,湖北省,2008,9302.0,62.6247,360.7744,71.5128,21.6119,20.1356
420000,湖北省,2007,10210.0,61.0762,370.3434,83.2908,22.0326,20.4899
420000,湖北省,2006,11422.0,57.01,391.3276,94.6634,22.5803,20.9342
420000,湖北省,2005,12631.0,56.7411,429.1881,102.071,23.2888,21.5693
420000,湖北省,2004,14085.0,59.9698,474.95,109.9308,23.9549,22.1763
420000,湖北省,2003,15746.0,65.1856,528.1177,118.6986,25.2645,23.3902
420000,湖北省,2002,17994.0,71.2199,579.99,122.1654,26.5514,24.5773
420000,湖北省,2001,21522.0,80.3883,628.048,121.0011,28.1807,25.8226
420000,湖北省,2000,23372.0,90.4559,667.7422,116.0203,29.9994,27.4979
430000,湖南省,2019,7245.0,,528.773,,,28.7097
430000,湖南省,2018,7335.0,,521.9847,,,27.4527
430000,湖南省,2017,7757.0,88.4,511.6575,78.1,,26.5887
430000,湖南省,2016,8272.0,,501.8111,,,25.3718
430000,湖南省,2015,8412.0,,488.8598,,,24.9115
430000,湖南省,2014,8560.0,81.395,473.8403,74.1023,22.6307,24.8118
430000,湖南省,2013,9270.0,84.7605,467.8102,77.0482,22.663,24.6273
430000,湖南省,2012,10165.0,88.0773,473.792,77.0212,23.1358,24.6859
430000,湖南省,2011,10824.0,86.9687,490.3095,73.0155,23.5769,25.0333
430000,湖南省,2010,12692.0,86.3796,479.1601,72.8144,26.6854,25.0039
430000,湖南省,2009,13263.0,83.3027,469.147,71.0261,26.6878,25.0365
430000,湖南省,2008,13929.0,84.7528,458.4411,70.282,26.568,25.0229
430000,湖南省,2007,14677.0,86.2812,444.843,71.292,26.4623,24.9994
430000,湖南省,2006,15859.0,78.5684,429.3059,71.6297,26.3305,24.7567
430000,湖南省,2005,17108.0,71.0905,419.8314,81.5684,26.156,24.6112
430000,湖南省,2004,19615.0,71.4098,432.5557,103.8675,26.3448,24.8345
430000,湖南省,2003,24673.0,71.4944,468.6892,129.4814,27.5811,26.0704
430000,湖南省,2002,27243.0,70.8909,529.49,140.3093,29.2796,27.6535
430000,湖南省,2001,29340.0,72.357,601.2579,135.7129,30.9106,29.1574
430000,湖南省,2000,34521.0,71.7496,663.9289,130.2004,32.4199,30.6387
440000,广东省,2019,10565.0,,1033.4303,,,55.3241
440000,广东省,2018,10308.0,,988.3724,,,53.0291
440000,广东省,2017,10258.0,174.37,941.9581,131.91,,50.7788
440000,广东省,2016,10178.0,,905.2214,,,48.6578
440000,广东省,2015,10126.0,,868.8785,,,46.8608
440000,广东省,2014,10731.0,153.6722,831.9147,124.3469,41.8242,45.4377
440000,广东省,2013,11824.0,150.0473,807.9381,137.0411,41.7189,43.7532
440000,广东省,2012,13396.0,145.2959,808.2401,149.9644,42.2977,43.2374
440000,广东省,2011,15148.0,140.8922,822.0577,161.9684,43.0652,43.2451
