省份编码,省份,年份,普通高等学校教职工总数(万人),普通高等学校校本部教职工数(万人),普通高等学校专任教师数(万人),普通高等学校正高级专任教师数(万人),普通高等学校副高级专任教师数(万人),普通高等学校中级专任教师数(万人),普通高等学校初级专任教师数(万人),普通高等学校无职称专任教师数(万人),普通高等学校校本部行政人员数(万人),普通高等学校校本部教辅人员数(万人),普通高等学校校本部工勤人员数(万人)
120000,天津市,2013,4.7123,4.5855,3.09,0.4469,0.9854,1.2143,0.3374,0.106,0.7294,0.4373,0.3288
120000,天津市,2012,4.6513,4.5189,2.9929,0.4405,0.9673,1.1594,0.3423,0.0834,0.7281,0.4432,0.3547
120000,天津市,2011,4.5894,4.4208,2.8919,0.4275,0.9446,1.0704,0.3518,0.0976,0.7042,0.451,0.3737
120000,天津市,2010,4.5194,4.3155,2.8094,0.399,0.919,1.0126,0.3957,0.0831,0.6739,0.4354,0.3968
120000,天津市,2009,4.4611,4.236,2.7118,0.3865,0.8832,0.9385,0.416,0.0876,0.6737,0.4361,0.4144
120000,天津市,2008,4.3294,4.0901,2.6121,0.3522,0.8316,0.859,0.4774,0.0919,0.6464,0.4219,0.4097
120000,天津市,2007,4.2391,,2.5166,0.3381,0.809,0.786,0.4822,0.1013,,,
120000,天津市,2006,4.2229,,2.4464,0.3279,0.8001,0.7453,0.4887,0.0844,,,
120000,天津市,2005,3.9434,,2.167,,,,,,,,
120000,天津市,2004,3.64,,1.8973,,,,,,,,
120000,天津市,2003,3.3371,,1.5553,,,,,,,,
120000,天津市,2002,3.2019,,1.4175,,,,,,,,
120000,天津市,2001,3.0023,,1.2622,,,,,,,,
120000,天津市,2000,2.5952,,1.0137,,,,,,,,
130000,河北省,2019,11.1965,11.0173,7.9147,1.0779,2.3926,3.1323,0.6594,0.6525,1.5217,0.9581,0.6228
130000,河北省,2018,10.8248,10.6309,7.5454,1.0432,2.2847,3.0048,0.6476,0.5651,1.481,0.9279,0.6766
130000,河北省,2017,10.5505,10.3101,7.289,1.0132,2.2206,2.9121,0.6388,0.5043,1.406,0.9278,0.6873
130000,河北省,2016,10.3789,10.0884,7.0447,0.9979,2.1327,2.8312,0.7314,0.3515,1.411,0.9134,0.7193
130000,河北省,2015,10.2778,9.9735,6.9397,0.9863,2.0865,2.7734,0.7707,0.3228,1.4132,0.8848,0.7358
130000,河北省,2014,10.2294,9.9198,6.8578,0.9617,2.0342,2.6946,0.8255,0.3418,1.3854,0.8935,0.7831
130000,河北省,2013,10.1072,9.7669,6.6825,0.91,1.9514,2.6186,0.8723,0.3302,1.3889,0.8698,0.8257
130000,河北省,2012,9.8815,9.5054,6.5043,0.8575,1.8408,2.5488,0.9574,0.2998,1.3262,0.8414,0.8335
130000,河北省,2011,9.6315,9.2578,6.2751,0.7938,1.7458,2.4254,0.9529,0.3572,1.3558,0.7828,0.8441
130000,河北省,2010,9.4548,9.0191,6.0769,0.7383,1.697,2.2322,1.0334,0.376,1.3246,0.787,0.8306
130000,河北省,2009,9.2104,8.7623,5.8394,0.6827,1.6061,2.0171,1.1108,0.4227,1.2896,0.7774,0.8559
130000,河北省,2008,8.8603,8.396,5.5125,0.6227,1.518,1.795,1.1769,0.3999,1.2155,0.7986,0.8694
130000,河北省,2007,8.6152,,5.2497,0.5717,1.4919,1.6092,1.1569,0.42,,,
130000,河北省,2006,8.0809,,4.7428,0.4937,1.3532,1.3954,1.0851,0.4154,,,
130000,河北省,2005,7.5881,,4.2697,,,,,,,,
130000,河北省,2004,7.2853,,3.9235,,,,,,,,
130000,河北省,2003,6.656,,3.3617,,,,,,,,
130000,河北省,2002,5.8581,,2.8091,,,,,,,,
130000,河北省,2001,5.2914,,2.3707,,,,,,,,
130000,河北省,2000,4.6327,,1.9414,,,,,,,,
140000,山西省,2019,6.0061,5.8574,4.2798,0.3019,1.1627,1.7872,0.6918,0.3362,0.745,0.5087,0.3239
140000,山西省,2018,5.9424,5.7902,4.191,0.2913,1.1144,1.7204,0.7318,0.3331,0.735,0.5093,0.3549
140000,山西省,2017,5.9116,5.7067,4.0971,0.2819,1.0682,1.6527,0.7765,0.3178,0.7177,0.5044,0.3875
140000,山西省,2016,5.9845,5.7737,4.1301,0.2864,1.0819,1.6094,0.8023,0.3501,0.7326,0.523,0.388
140000,山西省,2015,5.9508,5.7222,4.0406,0.2838,1.0476,1.5999,0.7928,0.3165,0.7329,0.5443,0.4044
140000,山西省,2014,6.0393,5.7784,4.0317,0.2966,1.0661,1.5711,0.7847,0.3132,0.7907,0.5368,0.4192
140000,山西省,2013,6.1009,5.8074,4.0764,0.299,1.043,1.5138,0.8633,0.3573,0.7722,0.5146,0.4442
140000,山西省,2012,5.8146,5.5469,3.8124,0.2883,0.982,1.4098,0.8378,0.2945,0.7412,0.5207,0.4726
140000,山西省,2011,5.7849,5.5089,3.7527,0.2781,0.968,1.3482,0.8578,0.3006,0.7395,0.5468,0.4699
140000,山西省,2010,5.6909,5.3752,3.6492,0.2635,0.9387,1.2851,0.8584,0.3035,0.7493,0.5407,0.436
140000,山西省,2009,5.6804,5.3478,3.5863,0.2533,0.92,1.2576,0.8985,0.2569,0.7661,0.5366,0.4588
140000,山西省,2008,5.5417,5.2104,3.4885,0.2415,0.9042,1.1646,0.9046,0.2736,0.7366,0.525,0.4603
140000,山西省,2007,5.375,,3.3356,0.2353,0.8703,1.096,0.8744,0.2596,,,
140000,山西省,2006,4.9421,,2.9712,0.2213,0.8092,0.9733,0.7504,0.217,,,
140000,山西省,2005,4.7589,,2.7862,,,,,,,,
140000,山西省,2004,4.3852,,2.4768,,,,,,,,
140000,山西省,2003,3.8358,,2.0224,,,,,,,,
140000,山西省,2002,3.1565,,1.5644,,,,,,,,
140000,山西省,2001,2.9,,1.3122,,,,,,,,
140000,山西省,2000,2.495,,1.0466,,,,,,,,
150000,内蒙古自治区,2019,4.127,4.0802,2.7382,0.3215,0.9069,1.0735,0.2556,0.1807,0.6855,0.4378,0.2187
150000,内蒙古自治区,2018,4.0465,3.987,2.687,0.2995,0.8767,1.0483,0.2622,0.2003,0.633,0.4494,0.2176
150000,内蒙古自治区,2017,3.9598,3.8888,2.6408,0.2813,0.8497,1.031,0.274,0.2048,0.5976,0.4076,0.2428
150000,内蒙古自治区,2016,3.9263,3.8451,2.5935,0.2747,0.8269,1.0131,0.2936,0.1852,0.5766,0.4224,0.2526
150000,内蒙古自治区,2015,3.8648,3.7827,2.5523,0.2684,0.7958,1.0128,0.3317,0.1436,0.5722,0.4103,0.2479
150000,内蒙古自治区,2014,3.7691,3.6772,2.5,0.2571,0.7641,0.9537,0.3665,0.1586,0.5566,0.3732,0.2474
150000,内蒙古自治区,2013,3.7296,3.6287,2.4554,0.2459,0.7512,0.9237,0.392,0.1426,0.5476,0.3694,0.2563
150000,内蒙古自治区,2012,3.8057,3.7001,2.4654,0.2342,0.7523,0.9138,0.4057,0.1594,0.5712,0.3924,0.2711
150000,内蒙古自治区,2011,3.7381,3.6321,2.416,0.221,0.7339,0.8654,0.4287,0.167,0.5616,0.3885,0.266
150000,内蒙古自治区,2010,3.6439,3.5267,2.3332,0.1983,0.7012,0.7955,0.4569,0.1813,0.5338,0.3818,0.2779
150000,内蒙古自治区,2009,3.4932,3.3867,2.2327,0.1772,0.6512,0.7218,0.5206,0.1619,0.5319,0.3485,0.2736
150000,内蒙古自治区,2008,3.3233,3.2003,2.0946,0.1545,0.6106,0.6637,0.4967,0.1691,0.5035,0.3305,0.2717
150000,内蒙古自治区,2007,3.1653,,1.9483,0.1307,0.5699,0.6193,0.482,0.1464,,,
150000,内蒙古自治区,2006,3.1136,,1.9101,0.1329,0.5879,0.583,0.4846,0.1217,,,
150000,内蒙古自治区,2005,2.751,,1.6189,,,,,,,,
150000,内蒙古自治区,2004,2.6331,,1.4793,,,,,,,,
150000,内蒙古自治区,2003,2.2592,,1.2153,,,,,,,,
150000,内蒙古自治区,2002,1.8718,,0.9583,,,,,,,,
150000,内蒙古自治区,2001,1.9766,,0.934,,,,,,,,
150000,内蒙古自治区,2000,1.9228,,0.8856,,,,,,,,
210000,辽宁省,2019,9.8099,9.6315,6.3149,0.9644,2.1063,2.6627,0.3964,0.1851,1.7511,0.9946,0.5709
210000,辽宁省,2018,9.7176,9.5287,6.2535,0.9301,2.0534,2.6299,0.4722,0.1679,1.7146,0.9369,0.6237
210000,辽宁省,2017,9.7806,9.583,6.3157,0.9106,2.0283,2.6347,0.5572,0.1849,1.6768,0.9152,0.6753
210000,辽宁省,2016,9.8546,9.6282,6.4946,0.9048,2.0149,2.6968,0.6631,0.215,1.6423,0.7797,0.7116
210000,辽宁省,2015,9.7924,9.555,6.5179,0.9209,2.0267,2.6681,0.6522,0.25,1.5021,0.7795,0.7555
210000,辽宁省,2014,9.7927,9.5269,6.4246,0.8987,1.9736,2.6303,0.6602,0.2618,1.5086,0.7912,0.8025
210000,辽宁省,2013,9.7536,9.4705,6.2706,0.8653,1.9315,2.5296,0.6623,0.2819,1.5209,0.8115,0.8675
210000,辽宁省,2012,9.6584,9.2198,6.0502,0.8271,1.8885,2.4334,0.7323,0.1689,1.449,0.9156,0.805
210000,辽宁省,2011,9.4834,9.0411,5.8742,0.7815,1.8432,2.3282,0.7645,0.1568,1.4109,0.9123,0.8437
210000,辽宁省,2010,9.3183,8.841,5.7404,0.7412,1.7754,2.1982,0.8645,0.1611,1.3764,0.8727,0.8515
210000,辽宁省,2009,9.1974,8.6398,5.5835,0.7144,1.7317,2.0505,0.9204,0.1665,1.3428,0.8883,0.8252
210000,辽宁省,2008,8.9848,8.3862,5.3495,0.6836,1.6567,1.8602,1.0062,0.1428,1.3063,0.9121,0.8183
210000,辽宁省,2007,8.7215,,5.0344,0.6232,1.5926,1.6435,1.0229,0.1522,,,
210000,辽宁省,2006,8.4535,,4.6816,0.5696,1.5084,1.4689,0.967,0.1677,,,
210000,辽宁省,2005,8.2816,,4.396,,,,,,,,
210000,辽宁省,2004,7.9093,,4.0697,,,,,,,,
210000,辽宁省,2003,7.5632,,3.8086,,,,,,,,
210000,辽宁省,2002,6.9667,,3.3819,,,,,,,,
210000,辽宁省,2001,6.5237,,3.0364,,,,,,,,
210000,辽宁省,2000,6.1707,,2.7508,,,,,,,,
220000,吉林省,2019,6.2611,6.1046,4.0298,0.6769,1.3261,1.4679,0.4578,0.1011,0.9491,0.6704,0.4553
220000,吉林省,2018,6.3479,6.1316,4.0328,0.6711,1.3335,1.4699,0.4574,0.1009,0.929,0.6752,0.4946
220000,吉林省,2017,6.3351,6.1076,4.0097,0.6586,1.3154,1.479,0.4566,0.1001,0.9106,0.6575,0.5298
220000,吉林省,2016,6.3359,6.0982,3.9823,0.6352,1.2776,1.5168,0.481,0.0717,0.8797,0.6524,0.5838
220000,吉林省,2015,6.3043,6.0255,3.9152,0.6089,1.2407,1.5212,0.4759,0.0685,0.855,0.6382,0.6171
220000,吉林省,2014,6.2916,5.954,3.8549,0.5808,1.2035,1.4979,0.5182,0.0545,0.8351,0.6165,0.6475
220000,吉林省,2013,6.3002,5.9457,3.8003,0.572,1.193,1.4439,0.5413,0.0501,0.8231,0.6321,0.6902
220000,吉林省,2012,6.2505,5.8557,3.7022,0.5428,1.1362,1.4176,0.546,0.0596,0.8561,0.61,0.6874
220000,吉林省,2011,6.1429,5.771,3.5647,0.5123,1.0975,1.2991,0.5733,0.0825,0.8357,0.6484,0.7222
220000,吉林省,2010,5.9535,5.6551,3.3982,0.4861,1.0463,1.1917,0.6095,0.0646,0.8835,0.6371,0.7363
220000,吉林省,2009,5.977,5.6219,3.3239,0.451,1.0057,1.1042,0.6848,0.0782,0.8954,0.6438,0.7588
220000,吉林省,2008,5.9035,5.5121,3.2539,0.4181,0.951,1.0345,0.7302,0.1201,0.8415,0.6622,0.7545
220000,吉林省,2007,5.8531,,3.1667,0.4031,0.9216,1.003,0.7194,0.1196,,,
220000,吉林省,2006,5.6727,,2.9918,0.3768,0.8548,0.9376,0.7065,0.1161,,,
220000,吉林省,2005,5.4689,,2.8129,,,,,,,,
220000,吉林省,2004,4.9859,,2.5011,,,,,,,,
220000,吉林省,2003,4.695,,2.1824,,,,,,,,
220000,吉林省,2002,4.4484,,1.9975,,,,,,,,
220000,吉林省,2001,4.2914,,1.8194,,,,,,,,
220000,吉林省,2000,4.1813,,1.7476,,,,,,,,
230000,黑龙江省,2019,7.4233,7.222,4.7245,0.8101,1.6463,1.7829,0.3112,0.174,1.2082,0.7246,0.5647
230000,黑龙江省,2018,7.3542,7.1257,4.6027,0.7764,1.6049,1.7743,0.3225,0.1246,1.1996,0.7273,0.5961
230000,黑龙江省,2017,7.3918,7.1691,4.6278,0.7478,1.6088,1.7957,0.3285,0.147,1.1912,0.7248,0.6253
230000,黑龙江省,2016,7.4901,7.2594,4.6829,0.7538,1.5978,1.8663,0.3261,0.1389,1.1414,0.7353,0.6998
230000,黑龙江省,2015,7.6086,7.331,4.6806,0.7388,1.549,1.9216,0.3398,0.1314,1.1392,0.7659,0.7453
230000,黑龙江省,2014,7.7,7.4036,4.687,0.7347,1.5173,1.9212,0.3947,0.1191,1.121,0.793,0.8026
230000,黑龙江省,2013,7.7234,7.389,4.6215,0.7111,1.451,1.8914,0.4266,0.1414,1.1136,0.7913,0.8626
230000,黑龙江省,2012,7.751,7.3941,4.5448,0.6928,1.3843,1.8304,0.5046,0.1327,1.1696,0.7837,0.896
230000,黑龙江省,2011,7.6205,7.2784,4.4821,0.6611,1.3291,1.7551,0.6008,0.136,1.1149,0.7744,0.907
230000,黑龙江省,2010,7.5741,7.0991,4.4198,0.6256,1.3056,1.6469,0.6586,0.1831,1.0673,0.7341,0.8779
230000,黑龙江省,2009,7.5062,6.988,4.3057,0.5868,1.2681,1.4377,0.7892,0.2239,1.0593,0.7376,0.8854
230000,黑龙江省,2008,7.4348,6.8832,4.1613,0.5461,1.2162,1.2653,0.933,0.2007,1.0381,0.7549,0.9289
230000,黑龙江省,2007,7.2316,,3.9792,0.5196,1.2024,1.1293,0.9242,0.2037,,,
230000,黑龙江省,2006,6.8252,,3.6866,0.4692,1.1359,1.0251,0.8648,0.1916,,,
230000,黑龙江省,2005,6.5662,,3.5127,,,,,,,,
230000,黑龙江省,2004,6.4831,,3.2119,,,,,,,,
230000,黑龙江省,2003,6.0609,,2.8525,,,,,,,,
230000,黑龙江省,2002,5.214,,2.3179,,,,,,,,
230000,黑龙江省,2001,4.6359,,1.8238,,,,,,,,
230000,黑龙江省,2000,4.312,,1.6169,,,,,,,,
310000,上海市,2019,7.7224,7.3028,4.6278,0.8999,1.4943,1.7556,0.2832,0.1948,1.4389,0.95,0.2861
310000,上海市,2018,7.5115,7.0811,4.4585,0.8462,1.4403,1.7209,0.2715,0.1796,1.357,0.9349,0.3307
310000,上海市,2017,7.3891,6.9449,4.3484,0.8191,1.4082,1.6906,0.2745,0.156,1.2902,0.9176,0.3887
310000,上海市,2016,7.3357,6.8618,4.2308,0.7805,1.3759,1.6576,0.2857,0.1311,1.2434,0.9386,0.449
310000,上海市,2015,7.3578,6.8037,4.157,0.7541,1.3541,1.6358,0.2743,0.1387,1.2385,0.9098,0.4984
310000,上海市,2014,7.3373,6.7398,4.0558,0.7317,1.3018,1.6109,0.2679,0.1435,1.2511,0.8876,0.5453
310000,上海市,2013,7.3361,6.7209,4.0297,0.7089,1.2941,1.6118,0.2772,0.1377,1.2397,0.8822,0.5693
310000,上海市,2012,7.3348,6.691,4.0118,0.6781,1.261,1.6498,0.2877,0.1352,1.2194,0.8493,0.6105
310000,上海市,2011,7.4065,6.6565,3.9626,0.6461,1.2113,1.6422,0.341,0.122,1.1685,0.8442,0.6812
310000,上海市,2010,7.4161,6.561,3.917,0.6191,1.1479,1.6332,0.3488,0.168,1.0969,0.8482,0.6989
310000,上海市,2009,7.454,6.5581,3.8134,0.5876,1.1017,1.5486,0.409,0.1665,1.0817,0.8949,0.7681
310000,上海市,2008,7.3068,6.369,3.6854,0.5699,1.0675,1.4612,0.4157,0.1711,1.0599,0.8218,0.8019
310000,上海市,2007,7.1838,,3.548,0.5461,1.0343,1.3641,0.4434,0.1601,,,
310000,上海市,2006,7.1651,,3.3873,0.5043,0.9917,1.2831,0.4398,0.1684,,,
310000,上海市,2005,7.0623,,3.1645,,,,,,,,
310000,上海市,2004,6.8279,,2.8737,,,,,,,,
310000,上海市,2003,6.3138,,2.4387,,,,,,,,
310000,上海市,2002,6.1776,,2.29,,,,,,,,
310000,上海市,2001,6.1693,,2.1695,,,,,,,,
310000,上海市,2000,6.0799,,2.0491,,,,,,,,
320000,江苏省,2019,17.5222,16.7899,12.0599,1.7543,4.2153,4.7603,0.8596,0.4704,2.5516,1.4163,0.7621
320000,江苏省,2018,17.0589,16.2684,11.635,1.6355,4.038,4.7052,0.8177,0.4386,2.4648,1.4124,0.7562
320000,江苏省,2017,16.8583,16.039,11.2888,1.5677,3.8866,4.6116,0.8043,0.4186,2.4523,1.4612,0.8367
320000,江苏省,2016,16.5722,15.6891,10.9846,1.4625,3.7182,4.6289,0.8235,0.3515,2.3912,1.4644,0.8489
320000,江苏省,2015,16.2257,15.3192,10.7154,1.4127,3.6044,4.5276,0.8408,0.3299,2.2998,1.4131,0.8909
320000,江苏省,2014,16.0471,15.0694,10.4549,1.3386,3.4522,4.4712,0.8713,0.3216,2.2739,1.4173,0.9233
320000,江苏省,2013,16.6223,15.5976,10.8272,1.2719,3.4178,4.6712,1.1241,0.3422,2.2568,1.5056,1.008
320000,江苏省,2012,16.3592,15.3178,10.6023,1.1964,3.2457,4.6353,1.2314,0.2935,2.2143,1.46,1.0412
320000,江苏省,2011,16.1062,15.0722,10.3939,1.1347,3.0741,4.4919,1.4097,0.2835,2.1967,1.4084,1.0732
320000,江苏省,2010,15.8647,14.8025,10.201,1.042,2.9297,4.2324,1.6594,0.3375,2.1488,1.406,1.0467
320000,江苏省,2009,15.7,14.5877,9.9912,0.9666,2.7902,3.9377,1.9219,0.3748,2.0839,1.383,1.1296
320000,江苏省,2008,15.4001,14.231,9.6267,0.8981,2.5976,3.5814,2.1135,0.4361,2.0884,1.3569,1.159
320000,江苏省,2007,14.5981,,8.8568,0.8277,2.3838,3.1251,2.07,0.4502,,,
320000,江苏省,2006,13.2275,,7.8358,0.7459,2.1029,2.6452,1.8771,0.4647,,,
320000,江苏省,2005,12.044,,6.7334,,,,,,,,
320000,江苏省,2004,11.0775,,5.9037,,,,,,,,
320000,江苏省,2003,10.0684,,4.981,,,,,,,,
320000,江苏省,2002,9.354,,4.4198,,,,,,,,
320000,江苏省,2001,8.5433,,3.7987,,,,,,,,
320000,江苏省,2000,7.885,,3.3085,,,,,,,,
330000,浙江省,2019,9.9551,9.4505,6.6734,1.0105,2.0123,2.7793,0.4191,0.4522,1.6815,0.8675,0.2281
330000,浙江省,2018,9.4462,9.0313,6.3433,0.9532,1.9471,2.6653,0.3832,0.3945,1.6067,0.8333,0.248
330000,浙江省,2017,9.2654,8.8532,6.2357,0.917,1.9236,2.6209,0.3876,0.3866,1.5309,0.8236,0.263
330000,浙江省,2016,9.0214,8.6066,6.0477,0.8824,1.8636,2.577,0.3862,0.3385,1.4339,0.8346,0.2904
330000,浙江省,2015,8.8744,8.4636,5.9472,0.8463,1.831,2.56,0.3601,0.3498,1.4173,0.7927,0.3064
330000,浙江省,2014,8.7375,8.3035,5.8076,0.7999,1.7895,2.4983,0.3601,0.3598,1.3632,0.8036,0.3291
330000,浙江省,2013,8.5381,8.102,5.6,0.7579,1.7233,2.4547,0.3559,0.3082,1.3712,0.7878,0.343
330000,浙江省,2012,8.3843,7.8717,5.4154,0.7196,1.6437,2.4111,0.3908,0.2502,1.3199,0.7561,0.3803
330000,浙江省,2011,8.1384,7.6394,5.2296,0.6783,1.5631,2.3028,0.4638,0.2216,1.2776,0.743,0.3892
330000,浙江省,2010,7.9785,7.429,5.0969,0.6219,1.4831,2.2124,0.5586,0.2209,1.2128,0.7231,0.3962
330000,浙江省,2009,7.7852,7.2126,4.9516,0.5695,1.4385,2.0488,0.6608,0.234,1.1554,0.7014,0.4042
330000,浙江省,2008,7.5986,7.0163,4.7795,0.5238,1.3566,1.8548,0.7754,0.2689,1.135,0.6814,0.4204
330000,浙江省,2007,7.3704,,4.5622,0.4802,1.294,1.6441,0.8741,0.2698,,,
330000,浙江省,2006,6.973,,4.2143,0.414,1.1778,1.447,0.9076,0.2679,,,
330000,浙江省,2005,6.4491,,3.8402,,,,,,,,
330000,浙江省,2004,6.0833,,3.5766,,,,,,,,
330000,浙江省,2003,5.3612,,2.9508,,,,,,,,
330000,浙江省,2002,4.8481,,2.5993,,,,,,,,
330000,浙江省,2001,4.4347,,2.2168,,,,,,,,
330000,浙江省,2000,3.5083,,1.6057,,,,,,,,
340000,安徽省,2019,8.3403,8.1172,6.2374,0.614,1.7362,2.4875,0.9956,0.4041,0.9398,0.5798,0.3602
340000,安徽省,2018,8.2096,8.0067,6.1089,0.5786,1.7014,2.4764,1.0139,0.3386,0.9394,0.5884,0.37
340000,安徽省,2017,8.1266,7.9039,6.0429,0.5355,1.655,2.3915,1.108,0.3529,0.8814,0.5894,0.3902
340000,安徽省,2016,8.0416,7.8182,5.9479,0.5117,1.6144,2.3257,1.1483,0.3478,0.8744,0.5878,0.4081
340000,安徽省,2015,7.9397,7.6971,5.8113,0.4862,1.5736,2.2217,1.189,0.3408,0.842,0.5932,0.4506
340000,安徽省,2014,8.0254,7.555,5.6525,0.4525,1.5147,2.181,1.1974,0.3069,0.8481,0.5978,0.4566
340000,安徽省,2013,7.6178,7.3573,5.4903,0.443,1.465,2.0916,1.1771,0.3136,0.8105,0.5947,0.4618
340000,安徽省,2012,7.5411,7.2766,5.3108,0.4258,1.4017,2.019,1.1594,0.3049,0.817,0.6526,0.4962
340000,安徽省,2011,7.3176,7.0487,5.1185,0.3811,1.3292,1.9681,1.1347,0.3054,0.7941,0.6294,0.5067
340000,安徽省,2010,7.1264,6.8524,4.9298,0.3562,1.2708,1.8912,1.1142,0.2974,0.7785,0.6211,0.523
340000,安徽省,2009,6.8293,6.5521,4.6374,0.3329,1.1889,1.7554,1.0547,0.3055,0.7792,0.6022,0.5333
340000,安徽省,2008,6.554,6.2502,4.3624,0.3038,1.1021,1.6143,1.0436,0.2986,0.754,0.606,0.5278
340000,安徽省,2007,6.2277,,4.0743,0.2898,1.0432,1.4515,0.9824,0.3074,,,
340000,安徽省,2006,5.7588,,3.6797,0.2697,0.979,1.22,0.9575,0.2535,,,
340000,安徽省,2005,5.2947,,3.2438,,,,,,,,
340000,安徽省,2004,5.0116,,2.9538,,,,,,,,
340000,安徽省,2003,4.4395,,2.4744,,,,,,,,
340000,安徽省,2002,3.925,,2.11,,,,,,,,
340000,安徽省,2001,3.5859,,1.7914,,,,,,,,
340000,安徽省,2000,3.186,,1.5065,,,,,,,,
350000,福建省,2019,7.392,7.0413,4.9116,0.6324,1.5618,1.9645,0.5297,0.2232,1.2398,0.6767,0.2132
350000,福建省,2018,7.0707,6.7433,4.6555,0.5886,1.4314,1.9023,0.5528,0.1804,1.198,0.6618,0.228
350000,福建省,2017,6.8302,6.5939,4.5398,0.5576,1.3494,1.8653,0.6003,0.1672,1.1496,0.6552,0.2493
350000,福建省,2016,6.7488,6.4873,4.4751,0.4972,1.3014,1.8543,0.6477,0.1745,1.1147,0.6378,0.2597
350000,福建省,2015,6.7155,6.4647,4.4791,0.5068,1.2511,1.8443,0.7025,0.1744,1.075,0.6183,0.2923
350000,福建省,2014,6.5775,6.3135,4.3902,0.4938,1.2287,1.7633,0.7162,0.1882,1.017,0.6002,0.3061
350000,福建省,2013,6.4744,6.1847,4.2905,0.4766,1.1816,1.6553,0.7373,0.2397,0.9719,0.5909,0.3314
350000,福建省,2012,6.2513,5.9523,4.1119,0.4546,1.1329,1.5742,0.7226,0.2276,0.9211,0.5787,0.3406
350000,福建省,2011,6.1042,5.8175,3.9747,0.4186,1.0608,1.4799,0.8161,0.1993,0.8969,0.5834,0.3625
350000,福建省,2010,5.866,5.5668,3.7733,0.3571,0.9683,1.3573,0.8809,0.2097,0.8748,0.5499,0.3688
350000,福建省,2009,5.6334,5.3536,3.5841,0.348,0.9179,1.1979,0.9053,0.215,0.8494,0.5436,0.3765
350000,福建省,2008,5.3521,5.0993,3.3637,0.3135,0.8514,1.073,0.9211,0.2047,0.8243,0.5193,0.392
350000,福建省,2007,5.0622,,3.1385,0.2947,0.7921,0.9515,0.8995,0.2007,,,
350000,福建省,2006,4.6238,,2.8202,0.2616,0.7256,0.8325,0.8015,0.199,,,
