省份编码,省份,年份,每十万人口幼儿园平均在校生数(人),每十万人口小学平均在校生数(人),每十万人口初中阶段平均在校生数(人),每十万人口高中阶段平均在校生数(人),每十万人口高等学校平均在校生数(人)
230000,黑龙江省,2013,1410.47730829421,4016.78403755869,2433.0699008868,2657.55868544601,2528.53938445488
230000,黑龙江省,2012,1510.0,4871.0,3142.0,2985.0,2441.0
230000,黑龙江省,2011,1465.46830159144,4891.71927993739,3193.26637098878,3033.61857552831,2408.77119749543
230000,黑龙江省,2010,1285.0,4913.0,3377.0,2881.0,2447.0
230000,黑龙江省,2009,1110.25803904961,4976.57232334481,3503.06766107508,2898.30579365764,2419.54153694133
230000,黑龙江省,2008,1143.52510460251,5185.21966527197,3646.59780334728,2745.77144351464,2351.78608786611
230000,黑龙江省,2007,,,,,
230000,黑龙江省,2006,,,,,
230000,黑龙江省,2005,,,,,
230000,黑龙江省,2004,,,,,
230000,黑龙江省,2003,,,,,
230000,黑龙江省,2002,,,,,
230000,黑龙江省,2001,,,,,
230000,黑龙江省,2000,,,,,
310000,上海市,2019,2357.0,3409.0,1860.0,1070.45792079208,3582.0
310000,上海市,2018,2363.0,3309.0,1789.0,1082.0,3517.0
310000,上海市,2017,2367.0,3243.0,1701.0,1099.0,3498.0
310000,上海市,2016,2304.3726708075,3270.066252588,1711.3788819876,1120.0786749482,3327.2712215321
310000,上海市,2015,2208.8911788953,3292.1929101402,1699.6908491344,1149.2745259687,3330.2638087387
310000,上海市,2014,2082.2267768048,3324.6796265242,1767.1324762437,1197.2755315405,3347.9328406103
310000,上海市,2013,2105.16806722689,3329.73109243697,1834.85714285714,1308.40336134454,3420.81512605042
310000,上海市,2012,2047.0,3239.0,1843.0,1389.0,3481.0
310000,上海市,2011,1928.68866695614,3174.68953538862,1869.66999565784,1430.49066435085,3555.80112896222
310000,上海市,2010,2084.0,3652.0,2216.0,1878.0,4300.0
310000,上海市,2009,1873.53716785105,3554.45707084079,2257.11426241488,1982.31363121273,4392.9180390371
310000,上海市,2008,1769.42411194833,3178.47685683531,2289.01506996771,2200.79117330463,4371.17868675996
310000,上海市,2007,,,,,
310000,上海市,2006,,,,,
310000,上海市,2005,,,,,
310000,上海市,2004,,,,,
310000,上海市,2003,,,,,
310000,上海市,2002,,,,,
310000,上海市,2001,,,,,
310000,上海市,2000,,,,,
320000,江苏省,2019,3154.0,7113.0,3012.0,2410.43969693206,3311.0
320000,江苏省,2018,3183.0,6980.0,2812.0,2323.0,3143.0
320000,江苏省,2017,3257.0,6753.0,2609.0,2316.0,3045.0
320000,江苏省,2016,3224.9398194584,6547.1639919759,2444.1524573721,2318.2359578736,2937.1564694082
320000,江苏省,2015,3149.8278894472,6276.8404522613,2345.6859296482,2407.317839196,2895.6708542714
320000,江苏省,2014,2947.8644094268,5938.4330731571,2332.6800587947,2541.6292482263,2858.2314481157
320000,江苏省,2013,2926.89646464646,5497.08838383838,2345.28914141414,2738.37878787879,2813.53914141414
320000,江苏省,2012,2791.0,5352.0,2494.0,3014.0,2786.0
320000,江苏省,2011,2763.7971788029,5205.22938111577,2682.99529800483,3312.00279578091,2823.89757275384
320000,江苏省,2010,2663.0,5162.0,3016.0,3527.0,2819.0
320000,江苏省,2009,2516.72853737642,5158.36036106444,3337.40247222331,3677.48687689683,2786.08234665833
320000,江苏省,2008,2329.73639344262,5351.77442622951,3649.55278688525,3903.02426229508,2679.20393442623
320000,江苏省,2007,,,,,
320000,江苏省,2006,,,,,
320000,江苏省,2005,,,,,
320000,江苏省,2004,,,,,
320000,江苏省,2003,,,,,
320000,江苏省,2002,,,,,
320000,江苏省,2001,,,,,
320000,江苏省,2000,,,,,
330000,浙江省,2019,3377.0,6399.0,2853.0,2626.33606414502,2509.0
330000,浙江省,2018,3419.0,6374.0,2854.0,2581.0,2370.0
330000,浙江省,2017,3503.0,6333.0,2788.0,2635.0,2345.0
330000,浙江省,2016,3463.0673406752,6409.5251850515,2713.6992236866,2589.1695251851,2355.0027080701
330000,浙江省,2015,3452.4782135076,6481.3471314452,2685.8260711692,2646.9026870007,2413.7962962963
330000,浙江省,2014,3378.5140050928,6447.8228446708,2726.5587486359,2725.5911240451,2408.2739177883
330000,浙江省,2013,3412.00292130728,6382.77524192076,2707.04582800803,2887.0275698375,2362.6218732883
330000,浙江省,2012,3453.0,6347.0,2733.0,3020.0,2288.0
330000,浙江省,2011,3435.72058013585,6316.56875344226,2838.26326418212,3134.48320176244,2217.51422801542
330000,浙江省,2010,3534.0,6435.0,3226.0,3189.0,2285.0
330000,浙江省,2009,3262.826171875,6350.421875,3451.552734375,3150.61328125,2303.001953125
330000,浙江省,2008,3148.9604743083,6566.76877470356,3655.83201581028,3164.74901185771,2323.95652173913
330000,浙江省,2007,,,,,
330000,浙江省,2006,,,,,
330000,浙江省,2005,,,,,
330000,浙江省,2004,,,,,
330000,浙江省,2003,,,,,
330000,浙江省,2002,,,,,
330000,浙江省,2001,,,,,
330000,浙江省,2000,,,,,
340000,安徽省,2019,3343.0,7307.0,3460.0,3109.26944971537,2447.0
340000,安徽省,2018,3313.0,7304.0,3344.0,3065.0,2245.0
340000,安徽省,2017,3242.0,7110.0,3263.0,3123.0,2250.0
