,省份,年份,招生数(万人),在校学生数(万人),毕业生数(万人),获得职业资格证书毕业生数(万人),预计毕业生数(万人),教职工总数(万人),专任教师数(万人)
136,广西壮族自治区,2012,31.2754,86.2445,21.489,11.6957,26.183,3.0431,2.0755
137,广西壮族自治区,2013,30.3601,82.2241,26.7471,16.7349,25.7768,2.8219,2.0459
138,广西壮族自治区,2014,27.1153,78.2675,23.0497,13.7042,25.7344,2.8173,2.0417
139,广西壮族自治区,2015,25.6897,73.636,23.1889,15.0988,24.7663,2.7639,2.03
140,广西壮族自治区,2016,25.6261,69.8572,22.4426,14.5645,22.2967,2.7944,2.0733
141,广西壮族自治区,2017,25.2803,68.6797,19.9722,13.1593,21.1948,2.8095,2.0942
142,广西壮族自治区,2018,24.7944,67.755,18.5663,11.1712,21.566,2.7407,2.0311
143,广西壮族自治区,2019,25.9391,68.0286,19.6423,11.3794,21.0574,2.7023,2.043
144,广东省,2008,39.8121,100.0771,24.53,17.3706,28.4447,5.3571,3.8193
145,广东省,2009,52.9881,120.4622,27.765,19.4813,34.3188,5.6156,4.1178
146,广东省,2010,74.132,154.7785,33.1741,23.7823,43.0724,5.8754,4.3533
147,广东省,2011,55.0297,152.0525,36.6543,24.5112,45.3448,6.0632,4.5993
148,广东省,2012,49.5758,149.5738,41.9163,27.1335,51.1788,6.0847,4.6193
149,广东省,2013,47.4927,140.8894,48.8286,28.5803,48.4031,5.8927,4.5443
150,广东省,2014,41.7047,128.2205,45.701,26.1493,40.782,5.8051,4.5216
151,广东省,2015,39.5377,117.2119,41.7278,26.3186,37.4198,5.776,4.4972
152,广东省,2016,35.1909,106.5745,38.9163,25.4377,33.2268,5.7472,4.4776
153,广东省,2017,32.2267,99.385,34.2297,23.2485,33.1896,5.8112,4.5197
154,广东省,2018,29.719,86.7254,31.847,23.1492,26.5408,5.675,4.4105
155,广东省,2019,31.482,85.9668,27.9317,18.5207,27.0226,5.6252,4.4034
156,湖南省,2008,28.0488,76.3491,26.9438,17.6276,26.7474,4.5475,3.004
157,湖南省,2009,34.8884,80.8731,27.3181,18.912,27.6738,4.4459,2.9514
158,湖南省,2010,30.2889,76.4796,28.2883,17.9143,23.0053,4.1822,2.8004
159,湖南省,2011,27.9918,77.875,22.549,15.7944,25.2298,4.007,2.7977
160,湖南省,2012,25.3092,73.4242,25.148,16.3758,23.4023,3.841,2.7293
161,湖南省,2013,22.8627,65.0569,23.7097,20.5913,20.4274,3.3342,2.4827
162,湖南省,2014,22.7065,64.48,20.5099,17.5148,20.3185,3.3272,2.5106
163,湖南省,2015,23.7759,64.802,20.4137,17.6169,19.9392,3.4134,2.6047
164,湖南省,2016,25.1324,66.0887,19.9567,16.8372,19.5218,3.329,2.562
165,湖南省,2017,25.0215,68.6467,19.4901,15.9209,20.9108,3.4447,2.7001
166,湖南省,2018,22.9118,65.8221,20.4504,15.9255,21.253,3.6678,2.9029
167,湖南省,2019,25.3467,66.9992,20.9896,16.1591,20.9296,3.9075,3.1027
168,湖北省,2008,39.0641,103.7294,26.4826,16.9716,32.6662,4.4847,3.0689
169,湖北省,2009,36.7161,104.1759,30.7813,18.9089,34.9447,4.2244,2.9148
170,湖北省,2010,28.361,90.3834,33.5776,20.8282,32.1618,4.0985,2.8476
171,湖北省,2011,21.2318,72.0915,30.7701,19.2697,28.5419,3.698,2.6208
172,湖北省,2012,14.353,50.054,27.2883,17.3281,20.0699,3.3442,2.3796
173,湖北省,2013,13.0826,41.0795,19.9722,16.6889,14.8633,3.0619,2.2384
174,湖北省,2014,12.6656,37.2601,14.7158,12.2979,12.8264,2.9809,2.1905
175,湖北省,2015,13.2594,36.4893,12.5735,10.7627,11.363,2.7532,2.055
176,湖北省,2016,13.2075,37.5637,11.1352,9.2976,11.6125,2.7672,2.0657
177,湖北省,2017,12.7224,37.1206,11.4889,9.4647,12.1541,2.6595,2.0211
178,湖北省,2018,12.7901,36.9424,11.6775,8.9694,11.7684,2.5937,1.9891
179,湖北省,2019,14.4955,39.191,11.6755,8.3438,11.8975,2.5951,2.0452
180,河南省,2008,57.6959,148.9797,40.2395,20.7758,47.2848,7.9075,5.5922
181,河南省,2009,63.9658,163.7551,46.6854,25.0827,56.0902,8.272,5.9531
182,河南省,2010,62.5601,163.6004,52.6333,29.6116,54.6943,8.3165,6.0389
183,河南省,2011,56.9553,156.777,52.9025,29.6117,54.5275,7.901,5.8334
184,河南省,2012,52.2537,145.6626,52.2733,28.0108,53.9172,7.6395,5.7173
185,河南省,2013,42.2209,119.3105,51.1694,39.121,42.5708,6.9437,5.2559
186,河南省,2014,39.338,110.3864,41.9551,32.23,39.325,6.7699,5.1767
187,河南省,2015,37.8222,104.0439,38.8293,30.6889,35.6552,6.714,5.1672
188,河南省,2016,37.49,101.5766,33.9047,27.0741,33.8099,6.4222,5.0282
189,河南省,2017,42.0404,106.5231,31.8726,24.9485,32.3173,6.2705,4.9755
190,河南省,2018,39.1987,110.1602,31.4036,22.946,35.8846,6.003,4.8216
191,河南省,2019,42.0862,111.0637,34.3875,21.9728,33.537,5.8995,4.771
192,山东省,2008,41.8472,122.0469,39.6785,23.3996,42.7591,8.429,5.849
193,山东省,2009,40.5242,116.5052,41.89,27.1051,44.7171,8.1291,5.694
194,山东省,2010,42.6954,113.1621,43.9337,29.5311,39.4461,7.8769,5.5465
195,山东省,2011,44.4703,117.713,38.6564,25.1782,38.0641,7.4232,5.3569
196,山东省,2012,40.467,114.7012,38.0451,24.7022,38.329,7.1449,5.243
197,山东省,2013,36.3547,103.1585,37.8626,29.279,36.0144,6.681,5.0243
198,山东省,2014,31.9143,94.8167,35.4032,28.4896,33.4371,6.4488,4.9274
199,山东省,2015,29.4033,85.7264,32.0353,25.6485,30.2491,6.2319,4.8926
200,山东省,2016,28.818,80.9826,28.6687,23.7108,25.8771,6.0613,4.8244
201,山东省,2017,26.119,79.3357,24.8347,20.622,26.2529,6.0408,4.8659
202,山东省,2018,24.5355,75.0142,25.021,18.0701,26.2149,5.9304,4.8269
203,山东省,2019,26.7223,73.0464,25.9891,16.497,23.507,5.8249,4.8099
204,江西省,2008,22.3115,59.0283,20.0345,11.5785,18.5284,3.0497,2.0974
205,江西省,2009,26.5726,63.9022,18.3916,10.7322,18.9047,2.9713,2.1444
206,江西省,2010,21.9951,61.8065,18.8419,11.8078,19.0642,2.7658,2.0035
207,江西省,2011,21.1902,58.7317,19.3413,10.8136,19.7055,2.6458,1.9026
208,江西省,2012,20.2862,54.9084,19.0635,11.1883,15.511,2.4431,1.7467
209,江西省,2013,16.738,48.4628,15.9155,12.6287,15.9974,2.2454,1.6315
210,江西省,2014,14.9358,43.7172,15.4133,11.6746,14.4529,2.0055,1.5426
211,江西省,2015,15.71,43.1205,13.9595,10.7296,13.4954,1.9216,1.4921
212,江西省,2016,13.5843,36.1692,11.801,8.6184,10.5946,1.734,1.3496
213,江西省,2017,11.203,34.4343,10.5534,5.2639,10.6846,1.7235,1.2514
214,江西省,2018,12.2524,35.5042,10.866,10.2514,11.1134,1.7758,1.3005
215,江西省,2019,14.9327,38.5493,11.2129,10.5329,10.7638,1.9701,1.4225
216,福建省,2008,18.9416,49.831,13.651,9.0318,16.0923,2.3961,1.8229
217,福建省,2009,23.4002,54.002,14.9669,10.2565,17.0175,2.3747,1.829
218,福建省,2010,20.1482,53.6047,15.5293,12.5254,18.0382,2.3667,1.7993
219,福建省,2011,25.1705,57.3082,16.2006,12.3509,19.6742,2.2712,1.7781
220,福建省,2012,24.0792,58.2998,17.5933,14.7765,17.9605,2.2278,1.771
221,福建省,2013,15.504,52.5051,15.0811,13.9327,19.4383,2.1614,1.7187
222,福建省,2014,14.0906,43.761,15.2109,13.9792,16.6499,2.1417,1.7102
223,福建省,2015,14.0767,39.6655,13.8364,12.72,13.5729,2.1243,1.7103
224,福建省,2016,13.7049,38.0533,13.1698,12.2039,12.0411,2.0586,1.6732
225,福建省,2017,11.6477,34.55,11.7763,10.9951,11.5281,1.9813,1.6479
226,福建省,2018,12.2939,33.5832,10.7814,9.7232,11.7466,1.9629,1.6485
227,福建省,2019,13.0126,33.4826,11.0432,9.7549,10.1379,1.9928,1.6778
228,安徽省,2008,33.3608,87.9794,26.9384,14.9615,27.9236,3.4577,2.4568
229,安徽省,2009,32.2237,86.2605,27.5297,17.4874,28.7856,3.4798,2.47
230,安徽省,2010,34.9069,87.2733,29.2473,17.7682,28.1925,3.4109,2.4384
231,安徽省,2011,40.5504,94.7984,28.9204,20.369,28.7795,4.1908,3.2112
232,安徽省,2012,40.8824,100.2374,29.611,18.2493,33.1375,4.2636,3.4314
233,安徽省,2013,36.9049,96.7746,32.4927,28.567,34.8601,4.1317,3.3973
234,安徽省,2014,33.417,91.4742,32.6438,29.7133,34.0743,3.9295,3.2087
235,安徽省,2015,30.677,83.7795,34.1013,30.3525,33.1264,3.6609,3.0265
236,安徽省,2016,30.5752,78.1809,32.9317,29.4052,28.8058,3.4397,2.863
237,安徽省,2017,28.7852,76.0672,27.9668,24.7163,27.0241,3.3157,2.7804
238,安徽省,2018,29.43,75.281,25.7212,20.2218,27.103,3.2291,2.7323
239,安徽省,2019,30.2038,75.0713,26.7892,20.7708,26.0051,3.2768,2.7884
240,浙江省,2008,22.7898,63.165,22.2799,16.8126,20.8975,3.8797,3.105
241,浙江省,2009,24.4126,62.7707,20.6479,16.5244,19.1045,3.7845,3.0557
242,浙江省,2010,24.1528,64.2238,18.7361,15.5607,19.1698,3.7491,3.0548
243,浙江省,2011,23.815,65.2001,18.865,16.4371,20.5125,3.7905,3.0998
244,浙江省,2012,20.322,61.8597,20.3459,17.9344,20.6664,3.8701,3.2276
245,浙江省,2013,19.1505,57.8523,20.7272,19.7082,20.3961,3.892,3.2778
246,浙江省,2014,17.9078,53.3785,20.2669,19.377,18.1066,3.8848,3.319
247,浙江省,2015,18.7111,52.3584,17.9646,17.3617,17.3581,3.8641,3.3494
248,浙江省,2016,18.8355,52.0695,16.9894,16.4726,15.9624,3.8393,3.3491
249,浙江省,2017,18.4672,53.191,15.896,15.5182,17.3074,3.8324,3.3925
250,浙江省,2018,17.7634,52.612,17.0376,16.3466,17.4245,3.8628,3.4409
251,浙江省,2019,19.9421,54.2066,17.231,16.1622,17.1549,3.9836,3.5613
252,江苏省,2008,38.6757,113.5266,30.5559,22.1646,31.8922,5.9985,4.4752
253,江苏省,2009,35.0832,104.8163,31.6447,23.9181,29.2694,5.8727,4.3852
254,江苏省,2010,36.2563,102.0381,28.1831,22.0945,28.9869,5.7667,4.4035
255,江苏省,2011,30.7406,92.6984,29.0081,19.6954,25.5029,5.6101,4.3909
256,江苏省,2012,27.5225,88.4549,24.8643,18.9166,26.7884,5.514,4.3828
257,江苏省,2013,25.9053,79.3716,30.6146,26.1097,27.6705,5.4527,4.4164
258,江苏省,2014,23.4361,72.3628,26.5876,23.0586,25.0484,5.2976,4.3323
259,江苏省,2015,22.8701,68.0187,24.2467,21.2506,23.4628,5.1169,4.2304
260,江苏省,2016,22.0939,65.2499,22.9665,21.1914,21.7876,4.9706,4.1658
261,江苏省,2017,22.597,65.1464,21.6521,19.6727,21.714,5.0288,4.2317
262,江苏省,2018,19.9204,62.6012,21.2599,17.9215,20.6745,5.0137,4.2518
263,江苏省,2019,21.2812,62.153,20.1787,17.5617,21.0132,5.0609,4.3161
264,上海市,2008,5.7694,18.7916,5.8095,4.3171,5.5734,1.4835,0.8265
265,上海市,2009,5.0343,17.6581,5.6959,4.4265,5.3978,1.4477,0.8112
266,上海市,2010,4.8914,16.3878,5.553,4.2938,5.1821,1.406,0.8094
267,上海市,2011,4.8149,15.4008,5.1325,4.0509,4.526,1.375,0.8175
268,上海市,2012,4.954,15.649,4.4859,3.5862,4.2951,1.3084,0.79
269,上海市,2013,4.4377,15.3298,4.8508,4.0627,5.5018,1.3706,0.8358
270,上海市,2014,4.096,13.0982,5.5827,4.7815,4.5932,1.3389,0.8382
271,上海市,2015,3.8786,11.9701,4.4179,3.8584,3.9338,1.3023,0.8337
272,上海市,2016,3.5443,11.2013,3.8418,3.3207,3.8217,1.2605,0.8229
273,上海市,2017,3.4212,10.611,3.6722,3.1136,3.5449,1.2289,0.8125
274,上海市,2018,3.3372,10.2575,3.4707,2.9441,3.4312,1.1947,0.8083
275,上海市,2019,3.4291,9.9979,3.3778,2.6911,3.3192,1.1722,0.816
276,黑龙江省,2008,14.2063,33.6106,7.5263,4.7134,9.5938,2.6163,1.7644
277,黑龙江省,2009,16.6216,38.9955,9.3863,5.2653,12.1886,2.7227,1.8817
278,黑龙江省,2010,11.5897,36.0023,12.1979,6.0449,12.9907,2.6038,1.8297
279,黑龙江省,2011,10.9287,32.3219,12.3316,5.4093,12.6828,2.5402,1.7967
280,黑龙江省,2012,10.0212,29.2987,12.4133,6.2767,9.4281,2.524,1.7891
281,黑龙江省,2013,8.3261,27.402,9.1783,7.2294,10.2468,2.379,1.7173
282,黑龙江省,2014,7.8379,24.319,9.9655,6.7345,8.6576,2.3299,1.6968
283,黑龙江省,2015,7.628,22.9407,8.4332,6.5269,7.5532,1.9799,1.4185
284,黑龙江省,2016,7.1021,21.5729,7.4927,5.6697,7.6893,1.9617,1.4083
285,黑龙江省,2017,6.4975,20.3828,7.4655,5.1633,7.1991,1.9349,1.409
286,黑龙江省,2018,5.1549,18.04,6.9211,4.4729,6.5358,1.848,1.3528
287,黑龙江省,2019,5.5174,16.7688,6.1511,1.8249,6.2918,1.7054,1.2604
288,吉林省,2008,10.2946,26.1272,6.9512,3.2234,8.5236,2.8261,1.8745
289,吉林省,2009,15.1829,32.2897,8.158,4.0592,9.1053,2.8189,1.8936
290,吉林省,2010,10.7251,29.2359,9.1836,4.131,9.7149,2.8434,1.9339
291,吉林省,2011,9.1656,26.5952,9.6934,4.0878,8.8556,2.6978,1.8533
292,吉林省,2012,7.21,22.8866,8.9817,3.3902,8.119,2.6357,1.8513
293,吉林省,2013,6.1055,19.2672,8.3932,5.0643,7.6607,2.5215,1.8094
294,吉林省,2014,4.3508,15.0044,7.6901,4.519,5.6503,2.4003,1.7539
295,吉林省,2015,4.5498,13.4237,5.345,3.1855,4.9754,2.1578,1.6259
296,吉林省,2016,4.6958,12.9856,4.892,2.9499,3.9879,1.9362,1.454
297,吉林省,2017,4.4566,13.1774,3.8899,2.4218,4.3109,1.7724,1.3459
298,吉林省,2018,3.509,12.0897,4.1718,2.0633,4.416,1.7583,1.3418
299,吉林省,2019,4.3755,11.7863,4.3181,1.7636,4.1096,1.8289,1.3921
300,辽宁省,2008,16.303,45.8954,12.9789,6.4047,15.2202,3.4817,2.2872
301,辽宁省,2009,15.4523,44.3912,14.7303,7.1731,14.876,3.4312,2.2603
302,辽宁省,2010,14.4448,42.7773,14.2613,7.0382,14.7071,3.2736,2.191
303,辽宁省,2011,13.4577,40.7577,14.2226,6.8826,13.915,3.2101,2.1801
304,辽宁省,2012,12.1355,38.0601,13.1308,6.5801,13.5443,3.1282,2.1657
305,辽宁省,2013,11.7987,34.9912,12.7767,8.3504,12.0537,2.9499,2.075
306,辽宁省,2014,10.827,33.322,11.5269,8.1742,11.3908,2.8745,2.059
307,辽宁省,2015,11.1181,32.5311,10.7471,7.3475,11.2266,2.8194,2.0411
308,辽宁省,2016,11.2032,31.8885,10.6649,6.9623,10.1351,2.7925,2.0566
309,辽宁省,2017,10.3382,31.4385,9.6048,6.2861,10.303,2.7464,2.0582
