年份,高等教育毕业生数,研究生毕业生数,博士毕业生数,硕士毕业生数,普通本专科毕业生数,普通本科毕业生数,普通专科毕业生数,成人本专科毕业生数,成人本科毕业生数,成人专科毕业生数,其他高等学历教育毕业生数,在职人员攻读博士、硕士学位毕业生数,网络本专科生毕业生数,网络本科毕业生数,网络专科毕业生数,中等教育毕业生数,高中阶段教育毕业生数,高中毕业生数,普通高中毕业生数,普通高中完全中学毕业生数,高级中学毕业生数,十二年一贯制普通高中毕业生数,成人高中毕业生数,中等职业教育毕业生数,普通中专毕业生数,成人中专毕业生数,职业高中毕业生数,技工学校毕业生数,初中阶段教育毕业生数,普通初中毕业生数,初级中学毕业生数,九年一贯制普通初中毕业生数,十二年一贯制普通初中毕业生数,普通初中完全中学毕业生数,职业初中毕业生数,成人初中毕业生数,初等教育毕业生数,普通小学毕业生数,小学毕业生数,九年一贯制普通小学毕业生数,十二年一贯制普通小学毕业生数,成人小学毕业生数,扫盲班毕业生数,工读学校毕业生数,特殊教育毕业生数,学前教育毕业生数
2011,,42.9994,5.0289,37.9705,608.2,279.6229,328.5,190.664,75.5402,115.1238,,,129.9253,46.0149,83.9104,3266.5962,1470.2827,809.9367,787.7,261.8833,508.8191,17.0377,22.1966,660.0,270.2302,53.0942,217.8008,118.9,1796.3135,1735.4963,1309.7178,179.0288,18.573,228.1767,1.2,59.6349,1841.78,1662.8,1520.1478,132.6111,10.0465,178.9746,81.815,0.4378,4.4,1184.7
2010,,38.36,4.8987,33.4613,575.4,259.0535,316.4,197.2873,80.3915,116.8958,,,110.5529,42.2543,68.2986,3281.8276,1468.7477,803.4528,794.4,,,,9.0193,665.0,264.6434,48.8061,230.2029,121.3,1813.0799,1748.5714,,,,,1.8,62.7291,1927.9332,1739.6,,,,188.2968,90.2594,0.3894,5.9,1057.6
2009,,37.1273,4.8658,32.2615,531.1,245.5359,285.6,194.3893,86.5421,107.8472,,,98.3521,40.5549,57.7972,3311.5503,1458.7074,833.517,823.7,,,,9.795,624.9,241.5223,38.9905,229.1526,115.2,1852.8429,1794.7254,,,,,3.0,55.1421,2008.4844,1805.2,,,,203.2847,95.7408,0.4511,5.7,1040.6
2008,,34.4825,4.3759,30.1066,511.9498,225.6783,286.3,169.0944,68.4506,100.6438,,,90.1522,40.3824,49.7698,3360.5282,1426.056,845.3965,836.1,,,,9.3372,580.7,220.5624,38.8977,211.6323,109.0,1934.4722,1862.8943,,,,,5.1,66.5178,2099.8339,1865.0,,,,234.8827,115.0196,0.3973,5.2,1040.5
2007,,31.1839,4.1464,27.0375,447.8,199.5944,248.2,176.44,67.489,108.951,,,82.8225,37.7161,45.1064,3406.058,1335.6902,804.787,788.3,,,,16.4727,530.9,202.2662,38.0934,190.8837,99.7,2070.3678,1956.8428,,,,,6.9,106.662,2099.4369,1870.2,,,,229.2661,95.782,0.3422,5.0,1049.1
2006,,25.5902,3.6247,21.9655,377.5,172.6674,204.8,81.5163,21.8303,59.686,,,88.5117,43.6707,44.841,3370.4199,1218.5352,739.4824,727.1,,,,12.4131,479.0528,182.3745,39.9429,170.3097,86.4,2151.8847,2062.4,,,,,9.2,80.3081,2204.0197,1928.5,,,,275.5359,164.6073,0.3565,4.5,1045.1
2005,,18.9728,2.7677,16.2051,306.8,146.5786,160.2,166.7889,55.5799,111.209,,,75.9627,39.231,36.7317,3293.1917,1092.1702,673.9805,661.6,,,,12.4092,418.2,156.7135,39.3926,153.086,68.9976,2201.0215,2106.515,,,,,16.9,77.5933,2317.1154,2019.5,,,,297.6386,169.0506,0.3514,4.3,1025.4
2004,,15.0777,2.3446,12.7331,239.1,119.629,119.5,189.6152,54.0356,135.5796,,,39.3715,21.1728,18.1987,3075.0473,919.9853,560.7914,546.9,,,,13.8563,359.2,140.5817,39.5513,125.5609,53.5,2155.062,2070.4,,,,,16.9,67.7622,2494.7962,2135.2,,,,359.6236,204.5819,0.3507,4.7,1059.7
2003,,11.1091,,,187.7,92.9598,94.8,,,,,,,,,,,,458.1,,,,,346.4,148.4,,,45.3,,1995.6,,,,,22.9,,,2267.9,,,,,,,4.5,1072.0
2002,,8.0841,,,133.7,65.5763,27.7,,,,,,,,,,,,383.8,,,,,380.1,144.15,,,45.4,,1879.87,,,,,23.8,,,2351.9,,,,,,,4.4,1152.7
2001,,6.7809,,,103.6,56.7839,19.3,,,,,,,,,,,,340.5,,,,,430.6,150.29,,,47.7,,1706.98,,,,,24.5,,,2396.9,,,,,,,4.6,1160.2
2000,,5.8767,,,95.0,49.5624,17.9,,,,,,,,,,,,301.5,,,,,476.7,150.7237,,,64.6,,1607.09,,,,,26.4,,,2419.2,,,,,,,4.3,
